x,y,Class_ID,B1,B2,B3,Class,Description
94.93188477,-156.1470947,2,102,105,88,Class_2,Grass
479.9584961,-205.2183228,2,112,108,97,Class_2,Grass
234.1276855,-267.177002,1,181,184,167,Class_1,LS Block
495.1655273,-11.25152588,1,116,118,104,Class_1,LS Block
473.8604736,-201.1292114,2,115,111,99,Class_2,Grass
463.0949097,-344.0216064,2,88,92,78,Class_2,Grass
220.6621094,-481.888916,3,23,28,22,Class_3,Vegitation
203.2322998,-319.9243774,1,206,214,203,Class_1,LS Block
74.10650635,-137.293396,2,106,107,91,Class_2,Grass
361.2814941,-119.0184937,3,50,68,46,Class_3,Vegitation
197.1619263,-330.0458984,1,134,147,121,Class_1,LS Block
78.91607666,-139.6019897,2,111,112,96,Class_2,Grass
491.3031006,-344.9594116,2,102,106,91,Class_2,Grass
105.9940796,-145.0369263,2,100,108,87,Class_2,Grass
111.8616943,-156.0509033,2,109,110,92,Class_2,Grass
79.87792969,-153.9827271,2,112,109,94,Class_2,Grass
497.1621094,-6.772888184,1,94,95,79,Class_1,LS Block
264.9852905,-448.2075195,2,116,114,99,Class_2,Grass
249.8552856,-524.1345215,3,75,101,72,Class_3,Vegitation
475.1431274,-220.2393799,2,106,100,88,Class_2,Grass
500.9904785,-195.1085205,2,111,109,96,Class_2,Grass
74.73168945,-145.1331177,2,113,110,93,Class_2,Grass
178.1348877,-114.8483887,2,97,102,80,Class_2,Grass
510.1574707,-204.7886963,2,96,100,85,Class_2,Grass
127.6470947,-291.9379272,1,151,152,138,Class_1,LS Block
103.8776855,-155.137085,2,107,117,90,Class_2,Grass
405.97052,-15.08410645,1,145,149,135,Class_1,LS Block
194.9528809,-416.0714111,3,61,90,59,Class_3,Vegitation
682.4290771,-115.7670288,1,180,178,165,Class_1,LS Block
480.0634766,-342.2033081,2,103,107,92,Class_2,Grass
168.8978882,-44.1315918,3,26,67,27,Class_3,Vegitation
265.9805298,-277.3901978,1,243,248,241,Class_1,LS Block
230.0626831,-315.9594116,3,39,58,36,Class_3,Vegitation
226.3817139,-485.288208,3,22,28,18,Class_3,Vegitation
519.1032715,-196.7807007,2,98,100,86,Class_2,Grass
462.8494873,-201.1644287,2,105,103,88,Class_2,Grass
256.0899048,-152.9082031,1,181,182,168,Class_1,LS Block
384.0709229,-81.05480957,3,64,100,62,Class_3,Vegitation
266.1425171,-276.3649902,1,232,237,230,Class_1,LS Block
331.0286865,-3.065185547,1,185,186,170,Class_1,LS Block
509.0667114,-226.0750122,2,98,105,87,Class_2,Grass
343.1196899,-166.1741943,3,83,113,79,Class_3,Vegitation
408.8303223,-18.15979004,1,209,217,204,Class_1,LS Block
117.8256836,-143.9788208,2,114,113,95,Class_2,Grass
497.9462891,-193.9157104,2,103,101,88,Class_2,Grass
196.8435059,-484.9498291,3,53,75,54,Class_3,Vegitation
264.0280762,-543.2283936,3,29,48,28,Class_3,Vegitation
316.1477051,-223.8118896,1,185,185,175,Class_1,LS Block
113.0640869,-140.0830078,2,102,101,83,Class_2,Grass
211.8074951,-357.1126099,1,196,193,184,Class_1,LS Block
241.1953125,-523.1572876,3,52,79,46,Class_3,Vegitation
185.9655151,-303.2332153,1,156,159,142,Class_1,LS Block
462.5637207,-208.9345093,2,102,98,86,Class_2,Grass
314.8527222,-225.1608887,1,140,140,130,Class_1,LS Block
172.0324707,-114.8787842,2,105,108,87,Class_2,Grass
513.9810791,-195.0131836,2,89,91,77,Class_2,Grass
122.0098877,-149.1730957,2,108,107,89,Class_2,Grass
184.9324951,-436.9923096,3,80,103,75,Class_3,Vegitation
94.33947754,-87.16052246,3,62,87,55,Class_3,Vegitation
496.1369019,-4.722412109,1,102,103,87,Class_1,LS Block
391.9332886,-27.16082764,1,144,150,140,Class_1,LS Block
654.7570801,-195.656311,1,140,138,123,Class_1,LS Block
485.171875,-221.0888062,2,107,105,90,Class_2,Grass
516.8566895,-213.8466797,2,97,98,82,Class_2,Grass
509.7385254,-224.7644043,2,86,93,75,Class_2,Grass
253.8895264,-354.9641113,2,102,103,89,Class_2,Grass
198.8378906,-418.0678101,3,46,71,52,Class_3,Vegitation
460.0089111,-191.9589844,2,98,101,84,Class_2,Grass
186.7479248,-325.8048096,1,187,191,177,Class_1,LS Block
486.9514771,-221.2330933,2,101,99,84,Class_2,Grass
259.9273071,-355.1923828,2,119,116,101,Class_2,Grass
101.2462769,-68.92248535,3,50,73,45,Class_3,Vegitation
127.1795044,-29.96942139,3,40,66,39,Class_3,Vegitation
657.1851196,-199.3255005,1,196,194,181,Class_1,LS Block
202.9185181,-437.5679932,3,62,86,64,Class_3,Vegitation
479.6218872,-196.9458008,2,109,105,94,Class_2,Grass
679.1229248,-119.6431885,1,143,145,131,Class_1,LS Block
685.0944824,-363.9832764,1,214,212,200,Class_1,LS Block
420.1052856,-6.070983887,1,204,207,200,Class_1,LS Block
469.1781006,-212.1663208,2,103,97,85,Class_2,Grass
258.1879272,-450.9467163,2,110,113,92,Class_2,Grass
253.1015015,-534.9121094,3,79,108,77,Class_3,Vegitation
216.8308716,-493.0582886,3,4,3,1,Class_3,Vegitation
209.637085,-497.1824951,3,29,37,24,Class_3,Vegitation
507.5437012,-197.0870972,2,87,89,75,Class_2,Grass
419.0786743,-11.11138916,1,180,183,176,Class_1,LS Block
509.9772949,-192.9210205,2,98,102,87,Class_2,Grass
259.991272,-537.9472046,3,54,80,53,Class_3,Vegitation
493.2039185,-223.06073,2,100,98,83,Class_2,Grass
697.236084,-375.8682861,1,164,167,150,Class_1,LS Block
225.1115112,-311.8610229,1,181,184,173,Class_1,LS Block
227.7722778,-281.0062866,3,54,77,51,Class_3,Vegitation
84.97607422,-139.2172852,2,107,112,92,Class_2,Grass
180.8156738,-442.0253906,3,43,66,38,Class_3,Vegitation
254.2192993,-150.7498169,1,182,183,169,Class_1,LS Block
688.6992798,-92.96600342,1,223,220,203,Class_1,LS Block
337.9802856,-162.734314,3,68,100,61,Class_3,Vegitation
478.1571045,-85.92279053,1,163,168,146,Class_1,LS Block
93.05627441,-154.1751099,2,114,117,100,Class_2,Grass
205.0769043,-439.1508179,3,47,70,50,Class_3,Vegitation
188.2418823,-436.0571899,3,57,82,53,Class_3,Vegitation
266.121521,-444.2305908,2,105,103,88,Class_2,Grass
477.2650757,-210.1240845,2,102,96,84,Class_2,Grass
380.3875122,-268.3530884,1,179,182,165,Class_1,LS Block
522.9824829,-202.5401001,2,99,101,87,Class_2,Grass
249.130127,-354.1196289,2,119,121,108,Class_2,Grass
494.723877,-196.0319824,2,107,103,92,Class_2,Grass
218.7332764,-358.2028198,1,189,189,179,Class_1,LS Block
211.8666992,-496.781311,3,35,38,31,Class_3,Vegitation
387.0250854,-74.01318359,3,84,111,76,Class_3,Vegitation
90.94128418,-246.9741821,1,143,147,133,Class_1,LS Block
273.8917236,-265.1724243,1,185,193,182,Class_1,LS Block
182.512085,-311.0751953,1,158,162,147,Class_1,LS Block
251.0963135,-527.3181152,3,45,70,41,Class_3,Vegitation
256.9882813,-489.2348022,1,135,146,130,Class_1,LS Block
264.0720825,-436.3781128,2,98,96,81,Class_2,Grass
214.5646973,-494.8928833,3,18,14,15,Class_3,Vegitation
398.1577148,-289.1450806,1,107,107,81,Class_1,LS Block
360.0795288,-139.8734131,1,198,200,187,Class_1,LS Block
496.2149048,-193.8676758,2,115,113,100,Class_2,Grass
495.0797119,-220.0787964,2,103,104,88,Class_2,Grass
120.0861206,-146.046875,2,111,110,92,Class_2,Grass
674.9259033,-341.1124878,1,177,177,165,Class_1,LS Block
84.10192871,-246.0838013,1,93,97,82,Class_1,LS Block
471.9367065,-191.0612793,2,98,96,83,Class_2,Grass
342.9578857,-159.9014893,3,86,116,80,Class_3,Vegitation
181.3471069,-33.38787842,3,70,116,69,Class_3,Vegitation
180.0228882,-291.1464844,1,206,204,189,Class_1,LS Block
189.7838745,-408.0505981,1,219,224,204,Class_1,LS Block
402.7249146,-25.21832275,1,232,243,227,Class_1,LS Block
266.9533081,-453.0772095,2,104,102,87,Class_2,Grass
178.0596924,-52.07397461,3,44,78,41,Class_3,Vegitation
665.9824829,-228.1798096,1,150,146,135,Class_1,LS Block
495.06073,-205.1220093,2,103,99,88,Class_2,Grass
458.2772827,-210.1071777,2,97,93,81,Class_2,Grass
169.8218994,-441.6176758,3,33,56,30,Class_3,Vegitation
467.8074951,-202.9680176,2,97,98,84,Class_2,Grass
